ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 31.099; 0.020; 1.390; 2.511; 2.506; 0.314;
8; 54; 31.149; 0.020; 1.384; 2.509; 2.505; 0.315;
8; 54; 31.199; 0.020; 1.386; 2.510; 2.506; 0.326;
8; 54; 31.249; 0.020; 1.386; 2.510; 2.506; 0.314;
8; 54; 31.299; 0.020; 1.388; 2.511; 2.506; 0.321;
8; 54; 31.349; 0.020; 1.394; 2.510; 2.506; 0.313;
8; 54; 31.399; 0.020; 1.404; 2.510; 2.506; 0.305;
8; 54; 31.449; 0.020; 1.404; 2.511; 2.506; 0.312;
8; 54; 31.499; 0.020; 1.399; 2.511; 2.505; 0.310;
8; 54; 31.549; 0.020; 1.390; 2.510; 2.506; 0.314;
8; 54; 31.599; 0.020; 1.384; 2.510; 2.506; 0.316;
